rw_steps,rw_samples,rw_duration_s,charge_throughput_ah,discharge_throughput_ah,abs_current_mean,current_mean,current_std,current_min,current_max,current_range,voltage_mean,voltage_std,voltage_min,voltage_max,voltage_range,temperature_mean,temperature_std,temperature_min,temperature_max,temperature_range,battery_id,target_capacity_ah,initial_capacity_ah,SoH,cycle_index,profile_group
3000,352114,348302.2,108.80816520555545,107.41500031249997,2.224125144129458,0.014359329648920515,2.5223661159267947,-4.605,4.604,9.209,3.747580939695667,0.28037963079130507,2.953,4.463,1.5100000000000002,28.52964514046587,2.511651946226207,21.58597,36.36126,14.775290000000002,RW10,2.051825,2.051825,100.0,1,Group_9_12
3000,334785,331062.29999999993,98.54539036666675,96.54879228888889,2.11214993204594,0.021430574846543305,2.3899475277019158,-4.612,4.612,9.224,3.7370502023686845,0.2815996530465389,2.995,4.341,1.346,28.607965848230954,2.2324464778259188,22.22367,37.26995,15.046280000000003,RW10,1.97845,2.051825,96.42391529492038,2,Group_9_12
3000,320039,316197.23,92.49464091944449,90.8455055888889,2.0776574386246676,0.018787763366339714,2.364129125986188,-4.602,4.613,9.215,3.7418073797255955,0.28861091671759115,2.952,4.352,1.4000000000000004,28.3092057632976,2.426367597580631,21.05715,36.33046,15.273310000000002,RW10,1.912779166666667,2.051825,93.22330933031165,3,Group_9_12
3000,310858,307018.96,87.96184130416674,86.23610238749995,2.0336547265954232,0.0189192010499971,2.315709077892104,-4.607,4.598,9.205,3.7435831440722134,0.285976059276562,2.978,4.351,1.3729999999999998,28.7633083191039,2.299266312167832,22.51919,37.59338,15.074190000000005,RW10,1.866752777777778,2.051825,90.98011661704959,4,Group_9_12
3000,292735,288861.08999999997,80.30423204999991,78.70913696249994,1.9728446513057885,0.019316320221360615,2.2292967679790556,-4.607,4.606,9.213000000000001,3.7433178847763338,0.29132999343929045,3.034,4.411,1.3769999999999998,28.067181135497975,2.197531328078124,21.36822,35.14455,13.776330000000002,RW10,1.7579541666666667,2.051825,85.67758783846901,5,Group_9_12
3000,288283,284458.85,75.4019440069445,74.06570180277778,1.8840759808937741,0.01684365016320768,2.139175989560659,-4.608,4.608,9.216,3.7472314878088544,0.28828306548376553,2.991,4.582,1.5909999999999997,34.303600251835874,2.0413369643921975,27.35635,41.55933,14.202980000000004,RW10,1.707936216666667,2.051825,83.2398580125823,6,Group_9_12
3000,266383,262578.05000000005,68.50723512083344,66.7913660069444,1.8475335250372587,0.023739814477650608,2.1057800743175643,-4.61,4.612,9.222000000000001,3.737265200857412,0.2973315484100491,2.942,4.418,1.476,34.52733021116212,2.2873877068551045,27.40301,42.37164,14.968630000000001,RW10,1.656443590277778,2.051825,80.73025673621181,7,Group_9_12
3000,267440,263541.55000000005,70.75491777361107,69.47248766249996,1.9070864044271614,0.01831571193538738,2.145793704983383,-4.609,4.606,9.215,3.739745699970087,0.30196465091181657,3.024,4.351,1.327,35.13319621578672,2.141858980850124,28.38289,42.58621,14.203320000000001,RW10,1.5985944444444447,2.051825,77.91085713666833,8,Group_9_12
3000,248465,244680.43,60.73990300277771,59.00169393194442,1.7559287304046847,0.024750769726118366,2.000197381865975,-4.599,4.613,9.212,3.7430551063530073,0.2944564233966576,2.955,4.376,1.4210000000000003,34.20572970683999,2.021064073133932,26.99862,41.42139,14.422770000000003,RW10,1.5302458333333333,2.051825,74.57974404899703,9,Group_9_12
3000,227209,223376.57,56.69490818194444,55.29229472777777,1.798797745687891,0.023873785809541,2.0459526103563466,-4.602,4.6,9.202,3.7384789202892494,0.30554949685783617,2.915,4.607,1.6920000000000002,33.98824257903516,2.0511269087004544,28.2118,40.88496,12.67316,RW10,1.4752597222222221,2.051825,71.89988045872441,10,Group_9_12
3000,241345,237526.78999999998,60.14971494444442,58.69222237222223,1.7945232136567986,0.022564581822701955,2.0197515845442364,-4.616,4.609,9.225,3.7478110257100834,0.3052809965727105,3.033,4.385,1.3519999999999999,34.20407147622698,2.230267531509604,27.48078,40.63974,13.158960000000004,RW10,1.437440277777778,2.051825,70.05667041671575,11,Group_9_12
3000,221124,217278.33,53.02405606666661,51.69057821944449,1.7294368227781698,0.02219928185090719,1.9691874291983877,-4.597,4.617,9.214,3.7428667354063783,0.3066736889467202,2.932,4.418,1.4860000000000002,34.26528474159295,1.9853895960027954,28.46066,40.76235,12.301689999999997,RW10,1.4056875000000002,2.051825,68.50913211409356,12,Group_9_12
881,75067,73929.68,18.720047495833334,17.329960518055557,1.7491459496183408,0.0659962833202339,1.9580871328322407,-4.509,4.611,9.120000000000001,3.7504014813433337,0.308110242379088,3.071,4.38,1.3089999999999997,33.982785756191134,2.2291798509310805,27.5741,41.46737,13.893270000000001,RW10,1.501915277777778,2.051825,73.19899493269543,13,Group_9_12
3000,232389,228551.99,53.654092812500025,52.37063612777778,1.6649879469338047,0.022250751971909174,1.8905670763286608,-4.619,4.616,9.235,3.7377042889293386,0.29753394962206076,2.903,4.388,1.4849999999999999,34.27945902689026,1.727081382333621,28.19625,41.45205,13.2558,RW10,1.3881461263888892,2.051825,67.65421643604543,14,Group_9_12
3000,213547,209784.32,49.099064705555584,47.622345388888895,1.655097266643877,0.026077388115965102,1.8797033186883267,-4.614,4.62,9.234,3.7423191990521993,0.3061652122817914,2.886,4.394,1.508,34.30911410284387,1.8812819718482745,27.18526,40.91562,13.730359999999997,RW10,1.355251388888889,2.051825,66.0510223283608,15,Group_9_12
3000,214221,210434.38,46.62261040277779,45.40023316666667,1.5708785926683193,0.021086592817697626,1.780336889081693,-4.616,4.616,9.232,3.7379412382539527,0.30368911793647346,2.877,4.481,1.604,33.73175911222523,1.682332771400321,28.28957,40.19527,11.9057,RW10,1.3205097222222222,2.051825,64.3578142493742,16,Group_9_12
3000,214994,211170.47999999998,47.380230513888876,46.13934336111116,1.5902566955356896,0.020660883559541193,1.7930089753998026,-4.616,4.616,9.232,3.7450890629505937,0.31032212925435787,2.945,4.557,1.6120000000000005,33.94249410876583,1.82500324038088,26.20539,39.24134,13.03595,RW10,1.3013096750000002,2.051825,63.42205962984174,17,Group_9_12
3000,200711,196908.97999999998,42.62640034027778,41.41523650416672,1.533604486052085,0.0212244969134726,1.7464175973713152,-4.614,4.617,9.231,3.7471345118105135,0.30603348735256186,2.909,4.637,1.7279999999999998,33.63607410131981,1.6361225696740802,25.24106,38.24024,12.999179999999999,RW10,1.2802388888888891,2.051825,62.39513062219678,18,Group_9_12
3000,198307,194510.84999999998,41.06422044722222,39.75239964027775,1.494270172006031,0.023499104923174675,1.705859362162305,-4.621,4.622,9.243,3.7479240974852126,0.3020393010210259,2.934,4.634,1.7000000000000002,33.49771333094647,1.7320781830808527,27.15416,39.13353,11.97937,RW10,1.2783694444444447,2.051825,62.3040193215525,19,Group_9_12
